numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
10,637943,2532960,1213705,2909,17732,126213126,1293.5534715652466,erdos
6,416235,1685406,735947,1775,15598,77104205,777.6417398452759,erdos
13,1325221,4523883,2249039,3261,17828,141490616,1451.044843673706,erdos
6,476083,2173095,941656,1931,15972,83824060,848.0729875564575,erdos
6,508578,2364873,1009950,2107,14748,91422623,914.894190788269,erdos
6,474343,2108730,926576,1987,14854,86255952,864.0742330551147,erdos
6,438495,1891577,792467,1848,16348,80196267,813.815731048584,erdos
6,443411,2109398,914061,2185,16055,94838791,960.161997795105,erdos
6,489487,2488151,1059818,2333,16005,101292892,1025.0897045135498,erdos
6,452710,2240300,959218,2306,15643,100109814,1010.0517978668213,erdos
6,323074,1499009,723317,1974,14660,85692055,856.8026475906372,erdos
6,428969,2211426,991247,2604,17034,113066652,1153.2949237823486,erdos
6,371927,1640966,665150,1883,15973,81724694,826.8411598205566,erdos
6,464347,2178039,956092,2338,15709,101502434,1024.6868476867676,erdos
6,299326,1235512,530335,1657,14402,71936020,717.4008502960205,erdos
6,274371,942005,472452,1783,14484,77436556,772.8907079696655,erdos
6,348515,1307847,536509,1653,13899,71758744,711.8117399215698,erdos
6,212242,722104,376616,1397,13853,60676894,601.5682859420776,erdos
8,367716,1473796,750403,2640,16066,114618698,1160.525538444519,erdos
6,479864,2424127,978591,2555,15983,110929900,1122.4247913360596,erdos
6,339351,1455340,633315,1969,16500,85451503,868.1731357574463,erdos
6,416839,2006500,818631,2162,17555,93855520,960.7945766448975,erdos
6,405109,1981982,918094,2246,16132,97490954,987.6292362213135,erdos
6,462046,2047816,797945,1933,13770,83923404,831.2744932174683,erdos
6,426478,1824888,701307,2033,14619,88269914,882.228946685791,erdos
6,422064,1825589,691862,1859,16013,80653744,816.2815980911255,erdos
6,428151,2211367,909048,2532,17719,109925855,1126.5378684997559,erdos
6,271992,884412,490894,1179,15958,51196206,518.0029726028442,rgg
6,109450,366666,175326,962,16042,41751004,422.6394329071045,rgg
6,174866,366523,195539,684,16515,29640565,300.96389389038086,rgg
6,254813,631176,305506,682,13087,29592341,290.6189489364624,rgg
6,159830,356574,213007,826,13647,35870866,354.7716541290283,rgg
6,255109,556306,257575,848,16209,36803264,373.0221996307373,rgg
6,188625,474312,268432,967,16667,41976474,426.984676361084,rgg
6,152975,306832,173478,779,13440,33843508,334.02556228637695,rgg
6,188779,618221,352143,1230,17921,53380649,547.866982460022,rgg
6,193750,447862,234714,938,14333,40695359,405.47643756866455,rgg
6,191750,562992,316675,1085,16238,47086508,477.33942890167236,rgg
6,210384,492992,262025,956,15880,41482491,419.5348358154297,rgg
6,164262,278419,159068,646,13344,28003539,275.96900749206543,rgg
6,121777,184361,100459,457,13260,19805583,194.98160457611084,rgg
6,263773,833888,397709,1355,17815,58802298,603.1471004486084,rgg
6,219669,712630,370895,1223,16252,53073792,538.4195594787598,rgg
6,132611,280979,164997,684,15859,29663205,299.7512159347534,rgg
6,175978,412798,231314,828,15849,35960065,363.43100452423096,rgg
6,174658,321117,158319,649,13045,28159474,276.6041011810303,rgg
6,115476,383917,169743,920,15414,39909314,401.7400484085083,rgg
6,97753,198627,118154,619,14105,26905808,267.47041416168213,rgg
