numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
20,110538,161463,77511,1368,16515,29640565,300.96389389038086,rgg
20,95565,166578,89784,1207,13087,29592341,290.6189489364624,rgg
20,95386,168600,79717,1395,13647,35870866,354.7716541290283,rgg
20,233818,666863,262075,1695,16209,36803264,373.0221996307373,rgg
24,176562,394921,170048,1935,16667,41976474,426.984676361084,rgg
20,175094,320729,128470,1559,13440,33843508,334.02556228637695,rgg
20,61373,241893,103122,2459,17921,53380649,547.866982460022,rgg
20,67591,195388,70013,1874,14333,40695359,405.47643756866455,rgg
20,171729,371397,156337,2170,16238,47086508,477.33942890167236,rgg
24,103878,242209,126937,1911,15880,41482491,419.5348358154297,rgg
20,131482,178248,71950,1291,13344,28003539,275.96900749206543,rgg
24,130101,151799,54916,915,13260,19805583,194.98160457611084,rgg
16,272933,1061751,454323,2708,17815,58802298,603.1471004486084,rgg
16,162888,434791,198640,2445,16252,53073792,538.4195594787598,rgg
28,97917,176790,97377,1368,15859,29663205,299.7512159347534,rgg
20,110600,241557,129215,1503,15849,35960065,363.43100452423096,rgg
24,94237,144963,75159,1298,13045,28159474,276.6041011810303,rgg
16,164290,364009,160992,1700,15414,39909314,401.7400484085083,rgg
24,93859,132932,70640,1239,14105,26905808,267.47041416168213,rgg
16,269496,1151608,486614,4031,18792,87682458,867.5699081420898,sf
16,218882,766352,359808,3447,16409,75001696,722.3209114074707,sf
16,149561,352992,193790,2267,12226,49337924,455.15204906463623,sf
16,218418,771729,341261,3147,17781,74822934,738.8690137863159,sf
16,164820,372823,186308,2131,13346,46320795,438.8546504974365,sf
16,147618,374551,198282,2417,15974,52514473,516.9555463790894,sf
16,168801,585792,246210,3511,20464,76279646,776.4776906967163,sf
16,151277,409264,221019,2456,16106,53277862,525.0889329910278,sf
16,191111,496687,236233,2597,15202,56415426,545.08802318573,sf
16,181225,500732,210892,2798,18912,60727020,615.2307825088501,sf
16,63274,244541,109660,1895,15452,54843946,533.6786937713623,sf
16,136536,392239,196341,2726,15051,59235960,567.8296737670898,sf
16,158349,318157,128559,2033,13487,44135191,419.9331703186035,sf
16,181954,594746,268627,3139,20235,68088780,695.023027420044,sf
16,187965,778911,340005,3742,21260,86596614,882.2717123031616,sf
16,111910,437796,205727,3286,20552,71327626,728.7142782211304,sf
16,73900,450347,176696,4120,20038,89604108,899.6284255981445,sf
16,303531,1267451,560265,3639,17342,79147666,772.0427856445312,sf
16,189000,738772,350099,3864,21538,83882925,858.0502119064331,sf
16,160082,462126,211809,2965,17773,64434903,642.8273181915283,sf
16,198547,545384,252813,2664,14300,57977914,549.0387535095215,sf
16,247922,944834,455600,4065,19117,88091136,910.4875736236572,sw
16,172860,406348,189356,2378,13422,51594168,508.9927644729614,sw
16,182355,441974,195442,2410,12303,52336962,508.79895973205566,sw
16,279291,1162234,492068,3758,21454,81353568,850.6633710861206,sw
16,115441,445312,217968,3351,16300,72698000,737.4554176330566,sw
16,309972,1400645,576564,4435,19504,96154720,995.9319686889648,sw
16,225872,987431,458450,4199,19782,91036764,944.3118362426758,sw
16,252900,1224678,561197,4958,19817,107527042,1115.569977760315,sw
16,145053,405255,197259,4042,17776,91510848,938.1606111526489,sw
16,133663,317851,174217,2067,12657,44805780,437.746488571167,sw
16,245858,1100467,545200,4067,16682,88281144,898.1537313461304,sw
16,164179,575107,302468,3182,16587,69001920,701.5139322280884,sw
